Item ID,Description,,Weight,, Price
2612,"Banana Split: White & Milk Chocolate Chips, Walnuts Raw, Pecan Pieces Raw, Diced Pineapple, Banana Chips, Cranberries, Strawberries.",,5,lb,$31.60 
2412,"Better Better Cheddar: Chili Cheese Corn Jacks, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers.",,5,lb,$23.70 
2112,"Cajun Hot Mix: Cajun Hot Corn Sticks, Sesame Sticks, Chili Rice Crackers, Mixed Rice Crackers, Hot and Spicy Peanuts.",,5,lb,$21.05 
2622,"Cherry Nut Harvest: Diced Pineapple, Cranberries, Cherries, Walnuts Raw, Unblanched Almonds Raw, Pecan Halves Raw, Large Cashews R/No, Cinnamon Toffee Peanuts.",,5,lb,$41.20 
2632,"Crazy for Cranberries: Cranberries, White Chocolate Chips, Unblanched Almonds R/No, Cashew Pieces R/No, Blanched Virginia Peanuts R/No.",,5,lb,$29.05 
2732,"Delight: Dark Raisins, Pineapple Chunks, Diced Papaya, Apricots, Golden Raisins, Unblanched Almonds Raw, Date Pieces, Walnuts Raw, Cashew Pieces Raw.",,5,lb,$24.85 
2122,"Fiesta Mix: Honey Roasted Sesame Sticks, Cajun Hot Corn Sticks, Cheddar Cheese Goldfish Crackers, Mini Pretzel Twists.",,5,lb,$20.80 
2742,"For Your Health: Cranberries, Unblanched Almonds Raw, Walnuts Raw.",,5,lb,$35.85 
2642,"Gorp: Ernies (M&M Style Candy), Dark Raisins, Blanched Virginia Peanuts R/No, Walnuts Raw.",,5,lb,$22.35 
2212,"Happy Hour Mix: Mini Pretzel Twists, Toasted Corn Nuts, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers, Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,5,lb,$21.05 
2132,"Hot Creole Crunch: Cajun Hot Corn Sticks, Chili Rice Crackers, Hot and Spicy Peanuts, Spanish Peanuts R&S, Toasted Corn Nuts, Pepitas (Pumpkin Seeds) R&S.",,5,lb,$21.70 
2662,"JerryÍs Favorite Trail Mix: Ernies (M&M Style Candy), Dark Raisins, Spanish Peanuts R&S, Blanched Virginia Peanuts R&S, Cashew Pieces R&S.",,5,lb,$24.05 
2232,"Nut and Snack Mix: Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,5,lb,$19.55 
2672,"Nut House Classic: Blanched Virginia Peanuts R&S, Ernies (M&M Style Candy), Peanut Gems (Peanut M&M Style Candy), Unblanched Almonds R&S, Pecan Halves R&S, Large Cashews R&S.",,5,lb,$29.65 
2312,"Oriental Mix: Blanched Virginia Peanuts R/No, Sesame Sticks, Green Peas R&S, Chili Rice Crackers, Mixed Rice Crackers.",,5,lb,$18.25 
2602,"Peanut Butter Crunch: Mini Peanut Butter Cups, Cashews R&S, Unblanched Almonds R&S, Blanched Virginia Peanuts R&S..",,5,lb,$35.30 
2682,"Peanut Passion: Butter Toffee Peanuts, Boston Baked Beans, French Burnt Peanuts, Blanched Virginia Peanuts R/No.",,5,lb,$19.55 
2142,"Rhino Chow: Cheddar Sesame Sticks, Pepitas (Pumpkin Seeds) R&S, Chili Rice Crackers, Hot and Spicy Peanuts, Hickory Smoked Almonds.",,5,lb,$22.75 
2242,"Rocky Mountain Madness: Sesame Sticks, Mini Pretzel Twists, Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks, Blanched Virginia Peanuts R/No.",,5,lb,$22.45 
2252,Sesame Mix: Assorted Flavor Sesame Sticks.,,5,lb,$19.95 
2152,"SizzlinÍ Sweet: Hot and Spicy Peanuts, Cajun Hot Corn Sticks, Sesame Sticks, Honey Roasted Peanuts, Butter Toffee Peanuts.",,5,lb,$21.40 
2422,"SmokÍn Cheddar: Cheddar Sesame Sticks, Mini Pretzel Twists, Cheddar Cheese Goldfish Crackers, Hickory Smoked Almonds.",,5,lb,$30.45 
2272,"Snackens: Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks.",,5,lb,$30.60 
2762,"Sunburst Fruit & Nut Mix: Banana Chips, Dark Raisins, Diced Papaya & Pineapple, Unblanched Almonds Raw, Walnuts Raw.",,5,lb,$23.35 
2772,"Trail Mix: Dark and Golden Raisins, Sunflower Kernels Raw, Unblanched Almonds Raw, Cashew Pieces Raw, Unsweetened Coconut Ribbon.",,5,lb,$24.90 
2322,"Wasabi Crunch: Corn Chips w/Flax Seeds, Wasabi Green Peas, Soy Nuts R&S, Blanched Virginia Peanuts R&S.",,5,lb,$18.85 
2332,"Wasabi Oriental Mix: Wasabi Green Peas, Sesame Sticks, Blanched Virginia Peanuts R&S, Mixed Rice Crackers.",,5,lb,$30.25 
2512,"Forbidden Fruit: Apples, Cranberries, Apricots, Papaya, Pineapple.",,5,lb,$23.85 
2522,"Mixed Fruit Deluxe: Prunes, Apricots, Peaches, Pears, Apples.",,5,lb,$35.75 
,,,,lb,
3412,Cheddar Cheese Goldfish Crackers,,5,lb,$30.60 
3512,Corn Chips w/ Flax Seeds- Salted,,5,lb,$18.80 
3522,Corn Sticks _ Cajun Hot,,5,lb,$18.25 
3532,Corn Nuts _ Original Toasted,,5,lb,$19.50 
3542,Corn Jacks _ Chili Cheese,,5,lb,$19.25 
3312,Green Peas R&S,,5,lb,$15.15 
3322,Green Peas _ Wasabi ,,5,lb,$17.95 
3112,Pretzel Bites _ Peanut Butter,,5,lb,$30.70 
3132,Pretzel Twists _ Mini,,5,lb,$13.50 
3432,Rice Crackers _ Chili ,,5,lb,$16.80 
3422,Rice Crackers _ Mixed ,,5,lb,$16.80 
3212,Sesame Sticks -- Cheddar ,,5,lb,$19.70 
#N/A,Sesame Sticks _ Garlic ,,#N/A,lb,#N/A
3232,Sesame Sticks _ Honey Roasted,,5,lb,$20.95 
3252,Sesame Sticks _ Regular ,,5,lb,$18.80 
3332,Vegetable Chips _ High  Vitamin,,3,lb,$32.25 
,,,,lb,
4712,Apple Rings,,5,lb,$24.05 
4722,Apricots,,5,lb,$23.50 
4732,Banana Chips,,5,lb,$16.80 
#N/A,Black Mission Figs,,,lb,#N/A
4122,Cherries,,5,lb,$61.25 
4142,Sliced Cranberries,,5,lb,$22.40 
4222,Coconut Chips _ Natural (No Sulfur),,5,lb,$18.70 
4232,Coconut _ Sweetened _ Shredded ,,5,lb,$18.70 
4242,Coconut _ Toasted ,,5,lb,$39.05 
4252,Coconut _ Unsweetened _ Shredded ,,5,lb,$18.50 
4412,Dates _ Pitted ,,5,lb,$25.70 
4422,Date Pieces,,5,lb,$17.95 
100749,Ginger - Diced,,5,lb,$22.95 
,Ginger - Sliced ,,,lb,
4782,Kiwi Slices,,5,lb,$29.05 
4512,Mango Slices,,5,lb,$15.01 
4522,Chili Mango Slices,,5,lb,$26.80 
4542,Papaya Diced,,5,lb,$18.50 
4742,Peach Halves,,5,lb,$49.05 
4752,Pear Halves,,5,lb,$54.05 
4612,Pineapple Chunks,,5,lb,$24.60 
4622,Pineapple Diced,,5,lb,$25.15 
4762,Plums _ Pitted (Prunes),,5,lb,$30.70 
4322,Raisins _ Golden _ Seedless ,,5,lb,$20.70 
4312,Raisins _ Dark _ Seedless ,,5,lb,$9.97 
4152,Strawberries,,5,lb,$52.40 
,,,,lb,
51212,Atomic Fireballs,,5,lb,$20.95 
51132,Jolly Ranchers _ Assorted ,,5,lb,$20.95 
,,,,lb,
52112,Assorted Fruit Slices,,5,lb,$15.50 
52562,Assorted Fruit Sours,,5,lb,$21.20 
19802,Boston Baked Beans,,5,lb,$18.50 
19182,Butter Toffee Almonds,,5,lb,$38.50 
19482,Butter Toffee Peanuts,,5,lb,$17.40 
19692,Caramelized Mixed Nuts,,5,lb,$57.60 
52712,Cherry Sours,,5,lb,$19.60 
52122,Cherry Slices,,5,lb,$10.09 
52522,Chewy Sprees,,5,lb,$23.05 
52212,Cinnamon Bears,,5,lb,$16.05 
19492,Cinamon Toffee Almonds,,5,lb,$38.50 
19192,Cinnamon Toffee Peanuts,,5,lb,$22.40 
19702,French Burnt Peanuts,,5,lb,$20.70 
52552,Fruit Runts,,5,lb,$20.95 
52252,Hot Tamales,,4,lb,$17.05 
52312,Jelly Beans _ Assorted ,,5,lb,$19.05 
52332,Jelly Belly - 49 Flavor Mix ,,5,lb,$50.70 
19142,Jordan Almonds _ Pastel ,,5,lb,$34.05 
19152,Jordan Almonds _ White ,,5,lb,$34.50 
52722,Lemon Drops,,5,lb,$17.80 
52412,Licorice Allsorts,,6,lb,$17.70 
52422,Licorice Bridge Mix,,5,lb,$26.70 
52432,Licorice Gems,,5,lb,$21.60 
52452,Licorice Black Australian - Gourmet,,5,lb,$26.95 
52442,Licorice Twists Black ,,5,lb,$21.15 
52262,Licorice Twists Cinnamon,,5,lb,$21.15 
52471,Licorice Twists Red,,5,lb,$47.75 
52482,Licorice Red Australian - Gourmet ,,5,lb,$26.95 
52572,Mike & Ike _ Fruit Jells,,4,lb,$17.05 
52132,Orange Slices,,5,lb,$15.50 
52542,Sour Patch Kids,,5,lb,$29.50 
52142,Sour Patch Watermelon,,5,lb,$29.50 
52582,Spice Drops,,5,lb,$15.70 
52622,Strawberry Bricks,,4,lb,$11.04 
52752,Swedish Fish,,5,lb,$26.70 
,,,,lb,
53242,Cinnamon Taffy,,5,lb,$13.43 
53172,Melon Taffy Assortment ,,5,lb,$13.43 
53262,Peppermint Taffy,,5,lb,$13.43 
53112,Salt Water Taffy Assortment,,5,lb,$13.43 
53132,Tropical Taffy Assortment,,5,lb,$13.43 
,,,,lb,
54112,Gummi Cola Bottles - Haribo ,,5,lb,$25.50 
54122,Gummi Fruit Salad - Haribo ,,5,lb,$25.50 
54132,Gummi Gold Bears _ Haribo ,,5,lb,$25.50 
54142,Gummi Grapefruit - Haribo,,5,lb,$25.50 
54152,Gummi Peaches _ Haribo ,,5,lb,$25.50 
54172,Gummi Raspberries _ Haribo ,,5,lb,$25.50 
54182,Gummi Twin Cherries _ Haribo ,,5,lb,$25.50 
54232,Gummy Baby Bear Cubs,,5,lb,$25.70 
54242,Gummy Bears _ 12 Flavors,,5,lb,$17.05 
54392,Gummy Blue Sharks,,5,lb,$14.80 
54492,Gummy Jet Fighters,,5,lb,$9.83 
54252,Gummy Butterflies,,5,lb,$17.05 
54262,Gummy Peach Rings,,4,lb,$16.25 
54472,Gummy Rainforest Frogs ,,5,lb,$23.40 
54352,Gummy Sour Triple Bears,,4,lb,$21.30 
55462,Gummy Watermelon Slices ,,4,lb,$18.80 
54272,Gummy Worms,,5,lb,$17.05 
54282,Sour Gummy Worms ,,4,lb,$16.25 
,,,,lb,
,5800 ct. Ball Gum _ Assorted Colors (.56î),,,lb,
,1î Bizarre Timebreaker Jawbreakers,,,lb,
#N/A,2 _î Bizarre Timebreaker Jawbreakers,,,lb,#N/A
#N/A,2 _ Psychedelic Jawbreakers,,,lb,#N/A
#N/A,"3 3/8"" Mega Bruiser Jawbreakers",,,lb,#N/A
,,,,lb,
56212,Sugar Free Almonds _ Milk Chocolate,,5,lb,$41.25 
56242,Sugar Free Gummy Bears,,5,lb,$19.76 
56272,Sugar Free Peanuts _ Milk Chocolate,,5,lb,$43.40 
56282,Sugar Free Raisins _ Milk Chocolate,,5,lb,$29.60 
56292,Sugar Free Salt Water Taffy,,3,lb,$41.25 
,,,,lb,
57252,Raspberry Yogurt Pretzels,,5,lb,$26.25 
57112,Yogurt Almonds,,5,lb,$46.05 
57212,Yogurt Cranberries,,5,lb,$33.05 
57122,Yogurt Peanuts,,5,lb,$26.50 
57232,Yogurt Pretzels,,5,lb,$23.25 
57242,Yogurt Raisins,,5,lb,$25.50 
,,,,lb,
61112,Dark Chocolate Almonds,,5,lb,$41.15 
61312,Dark Chocolate Alpine Mints _ Pastel Colors,,5,lb,$39.80 
61152,Dark Chocolate Burnt Caramel Almonds,,5,lb,$43.50 
61512,Dark Chocolate Coffee Beans,,5,lb,$42.05 
61212,Dark Chocolate Dried Cherries,,5,lb,$64.60 
61222,Dark Chocolate Dried Cranberries,,5,lb,$37.15 
61522,Dark Chocolate Malt Balls,,5,lb,$38.50 
61352,Dark Chocolate Mint Cookie Crisps,,5,lb,$38.95 
61332,Dark Chocolate Mints,,5,lb,$26.05 
61532,Dark Chocolate Nonpareils,,5,lb,$35.40 
61132,Dark Chocolate Peanuts,,5,lb,$37.50 
61232,Dark Chocolate Raisins,,5,lb,$36.05 
61562,Dark Chocolate Pretzel Sticklets,,5,lb,$36.05 
61142,Dark Chocolate Walnuts,,5,lb,$43.40 
,,,,lb,
62112,Milk Chocolate Almonds,,5,lb,$38.50 
62712,Milk Chocolate Animal Crackers,,5,lb,$33.60 
62452,Milk Chocolate Boulders ,,5,lb,$42.40 
62522,Milk Chocolate Caramels,,5,lb,$30.80 
62122,Milk Chocolate Cashews,,5,lb,$45.15 
62332,Milk Chocolate Coconut Clusters,,5,lb,$43.80 
62652,Milk Chocolate Cookie Dough,,5,lb,$36.05 
62532,Milk Chocolate English Toffee,,5,lb,$48.50 
62412,Milk Chocolate Ernies (M&M Style),,5,lb,$25.15 
62742,Milk Chocolate Graham Crackers,,5,lb,$35.15 
62212,Milk Chocolate Malt Balls _ Double Dipped,,5,lb,$35.15 
62792,Milk Chocolate Mini Peanut Butter Cups,,5,lb,$20.42 
62232,Milk Chocolate Mint Cookie Malt Balls,,5,lb,$37.60 
62762,Milk Chocolate Muddy Bears (Gummy Bears),,5,lb,$31.80 
62552,Milk Chocolate Peanut Caramel Patties,,5,lb,$38.50 
62132,Milk Chocolate Peanut Clusters,,5,lb,$33.40 
62142,Milk Chocolate Peanut Gems (M&M Style),,5,lb,$34.25 
62152,Milk Chocolate Peanuts _ Double Dipped,,5,lb,$31.05 
62162,Milk Chocolate Peanuts _ Panned,,5,lb,$31.05 
62542,Milk Chocolate Pecan Caramel Patties,,5,lb,$58.50 
62172,Milk Chocolate Pecans,,5,lb,$53.40 
62622,Milk Chocolate Pretzels,,5,lb,$29.95 
62352,Milk Chocolate Raisins,,5,lb,$31.05 
62632,Milk Chocolate ReeseÍs Pieces,,5,lb,$32.60 
62422,Milk Chocolate Rocks,,5,lb,$36.80 
62442,Milk Chocolate Stars,,5,lb,$32.05 
62182,Milk Chocolate Candy Coated Sunkernels,,5,lb,$20.03 
,,,,lb,
61422,Dark & Milk Chocolate Bridge Mix,,5,lb,$32.15 
62642,Tuxedo Pretzels (Milk Chocolate and Yogurt),,5,lb,$27.60 
,,,,lb,
66112,Smooth & Melty Mints _ Pastel _ Large,,5,lb,$31.05 
66122,Smooth & Melty Mints _ Pastel _ Mini ,,5,lb,$32.05 
,,,,lb,
#N/A,1000 ct. Milk Chocolate Chips,,#N/A,lb,#N/A
#N/A,700 ct. White Chocolate Chips,,#N/A,lb,#N/A
,900 ct. Bittersweet Chocolate Chips ,,,lb,
62782,Butterfinger Topping Chopped,,5,lb,$36.95 
64162,Cacao Nibs - NEW! ,,5,lb,$22.97 
62772,Cookies N Cream Topping Chopped,,5,lb,$24.95 
62702,Heath Bits Chopped ,,5,lb,$29.70 
64212,Mini Semisweet Chocolate Gems,,5,lb,$35.60 
,Milk Chocolate Teenies (Mini M&M Style) ,,,lb,
#N/A,Mini ReeseÍs Pieces,,#N/A,lb,#N/A
64242,Praline Pecan Bites,,5,lb,$56.70 
,,,,lb,
65212,Alpine Dark Melting Wafers ,,5,lb,$21.25 
65222,Alpine Milk Melting Wafers ,,5,lb,$21.25 
#N/A,Alpine Bright White Melting Wafers ,,#N/A,lb,#N/A
65232,Alpine White Melting Wafers ,,5,lb,$21.25 
,,,,,
,Marich Assorted Green Bean Jelly Beans,,,,
,Marich Celestial Sours,,,,
#N/A,Marich Chocolate Berry Blues,,#N/A,,
#N/A,Marich Chocolate Espresso Beans,,#N/A,,
,Marich Chocolate Malt Balls,,,,
,Marich Chocolate Rapberries,,,,
,Marich Coconut Curry Cashews,,,,
,Marich Dark Chocolate Almonds,,,,
,Marich Dark Chocolate Chipotle Almonds,,,,
,Marich Dark Choc. Sea Salt Caramel Popcorn ,,,,
,Marich Dark Chocolate Sea Salt Caramels ,,,,
#N/A,Marich Milk Chocolate Almonds,,#N/A,,
#N/A,Marich Milk Chocolate Peanuts,,,,
,Marich Milk Chocolate Raisins,,,,
,Marich Milk Choc. Sea Salt Caramel Popcorn ,,,,
#N/A,Marich Natural Holland Mints,,#N/A,,
,Marich Pastel Cherries,,,,
,Marich Pastel Jordan Almonds,,,,
#N/A,Marich Raspberry Trufflz,,#N/A,,
,Marich Red Apple Caramels,,,,
,Marich Triple Chocolate Toffee ,,,,
#N/A,Marich Tuxedo Beans,,#N/A,,
