Item ID,Description,,Weight,Weight Unit of Measure,price
,Blanched Virginia Peanuts,Raw,8,oz,
,Blanched Virginia Peanuts,R/No,8,oz,
16314,Blanched Virginia Peanuts,R&S,8,oz,$2.70 
#N/A,Granulated Peanuts - Dry Roasted,R/No,8,oz,#N/A
,,,8,oz,
17234,Hazelnuts (Filberts) Blanched,Raw,8,oz,$10.30 
17334,Hazelnuts (Filberts) Natural,Raw,8,oz,$8.20 
17434,Macadamia Nuts 90% Whole,Raw,8,oz,$12.35 
#N/A,Macadamia Hv. & Pcs. _ Style 4,Raw,8,oz,#N/A
,Pepitas (Pumpkin Seeds),Raw,8,oz,
17514,Pepitas (Pumpkin Seeds),R&S,8,oz,$4.55 
17634,Pine Nuts,Raw,8,oz,$7.65 
17614,Pine Nuts,R&S,8,oz,$7.65 
,Pistachios,Raw,8,oz,
17814,Soy Nuts,R&S,8,oz,$2.60 
,Sunflower Kernels,Raw,8,oz,
,Sunflower Kernels,Raw,8,oz,
,Sunflower Kernels,R/No,8,oz,
17914,Sunflower Kernels,R&S,8,oz,$2.55 
,,,8,oz,
18214,Natural Pistachios,R&S,8,oz,$6.40 
18314,Pumpkin Seeds (White),R&S,8,oz,$3.80 
,,,8,oz,
2614,"Banana Split: White & Milk Chocolate Chips, Walnuts Raw, Pecan Pieces Raw, Diced Pineapple, Banana Chips, Cranberries, Strawberries.",,8,oz,$4.15 
2414,"Better Better Cheddar: Chili Cheese Corn Jacks, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers.",,8,oz,$3.35 
2114,"Cajun Hot Mix: Cajun Hot Corn Sticks, Sesame Sticks, Chili Rice Crackers, Mixed Rice Crackers, Hot and Spicy Peanuts.",,8,oz,$3.10 
2624,"Cherry Nut Harvest: Diced Pineapple, Cranberries, Cherries, Walnuts Raw, Unblanched Almonds Raw, Pecan Halves Raw, Large Cashews R/No, Cinnamon Toffee Peanuts.",,8,oz,$5.10 
2634,"Crazy for Cranberries: Cranberries, White Chocolate Chips, Unblanched Almonds R/No, Cashew Pieces R/No, Blanched Virginia Peanuts R/No.",,8,oz,$3.90 
2734,"Delight: Dark Raisins, Pineapple Chunks, Diced Papaya, Apricots, Golden Raisins, Unblanched Almonds Raw, Date Pieces, Walnuts Raw, Cashew Pieces Raw.",,8,oz,$3.45 
2124,"Fiesta Mix: Honey Roasted Sesame Sticks, Cajun Hot Corn Sticks, Cheddar Cheese Goldfish Crackers, Mini Pretzel Twists.",,8,oz,$3.05 
2744,"For Your Health: Cranberries, Unblanched Almonds Raw, Walnuts Raw.",,8,oz,$4.55 
2644,"Gorp: Ernies (M&M Style Candy), Dark Raisins, Blanched Virginia Peanuts R/No, Walnuts Raw.",,8,oz,$3.20 
2214,"Happy Hour Mix: Mini Pretzel Twists, Toasted Corn Nuts, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers, Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,8,oz,$3.10 
2134,"Hot Creole Crunch: Cajun Hot Corn Sticks, Chili Rice Crackers, Hot and Spicy Peanuts, Spanish Peanuts R&S, Toasted Corn Nuts, Pepitas (Pumpkin Seeds) R&S.",,8,oz,$3.15 
2664,"JerryÍs Favorite Trail Mix: Ernies (M&M Style Candy), Dark Raisins, Spanish Peanuts R&S, Blanched Virginia Peanuts R&S, Cashew Pieces R&S.",,8,oz,$3.40 
2234,"Nut and Snack Mix: Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,8,oz,$2.95 
2674,"Nut House Classic: Blanched Virginia Peanuts R&S, Ernies (M&M Style Candy), Peanut Gems (Peanut M&M Style Candy), Unblanched Almonds R&S, Pecan Halves R&S, Large Cashews R&S.",,8,oz,$3.95 
2314,"Oriental Mix: Blanched Virginia Peanuts R/No, Sesame Sticks, Green Peas R&S, Chili Rice Crackers, Mixed Rice Crackers.",,8,oz,$2.80 
2604,"Peanut Butter Crunch: Mini Peanut Butter Cups, Cashews R&S, Unblanched Almonds R&S, Blanched Virginia Peanuts R&S..",,8,oz,$4.40 
2684,"Peanut Passion: Butter Toffee Peanuts, Boston Baked Beans, French Burnt Peanuts, Blanched Virginia Peanuts R/No.",,8,oz,$2.95 
2144,"Rhino Chow: Cheddar Sesame Sticks, Pepitas (Pumpkin Seeds) R&S, Chili Rice Crackers, Hot and Spicy Peanuts, Hickory Smoked Almonds.",,8,oz,$3.25 
2244,"Rocky Mountain Madness: Sesame Sticks, Mini Pretzel Twists, Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks, Blanched Virginia Peanuts R/No.",,8,oz,$3.25 
2254,Sesame Mix: Assorted Flavor Sesame Sticks.,,8,oz,$3.00 
2154,"SizzlinÍ Sweet: Hot and Spicy Peanuts, Cajun Hot Corn Sticks, Sesame Sticks, Honey Roasted Peanuts, Butter Toffee Peanuts.",,8,oz,$3.15 
2424,"SmokÍn Cheddar: Cheddar Sesame Sticks, Mini Pretzel Twists, Cheddar Cheese Goldfish Crackers, Hickory Smoked Almonds.",,8,oz,$4.05 
2274,"Snackens: Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks.",,8,oz,$4.05 
2764,"Sunburst Fruit & Nut Mix: Banana Chips, Dark Raisins, Diced Papaya & Pineapple, Unblanched Almonds Raw, Walnuts Raw.",,8,oz,$3.30 
2774,"Trail Mix: Dark and Golden Raisins, Sunflower Kernels Raw, Unblanched Almonds Raw, Cashew Pieces Raw, Unsweetened Coconut Ribbon.",,8,oz,$3.45 
2324,"Wasabi Crunch: Corn Chips w/Flax Seeds, Wasabi Green Peas, Soy Nuts R&S, Blanched Virginia Peanuts R&S.",,8,oz,$2.85 
2334,"Wasabi Oriental Mix: Wasabi Green Peas, Sesame Sticks, Blanched Virginia Peanuts R&S, Mixed Rice Crackers.",,8,oz,$4.00 
,"Forbidden Fruit: Apples, Cranberries, Apricots, Papaya, Pineapple.",,8,oz,
,"Mixed Fruit Deluxe: Prunes, Apricots, Peaches, Pears, Apples.",,8,oz,
,,,8,oz,
,Cheddar Cheese Goldfish Crackers,,8,oz,
3514,Corn Chips w/ Flax Seeds- Salted,,8,oz,$2.85 
,Corn Sticks _ Cajun Hot,,8,oz,
3534,Corn Nuts _ Original Toasted,,8,oz,$2.95 
3544,Corn Jacks _ Chili Cheese,,8,oz,$2.90 
3314,Green Peas R&S,,8,oz,$2.50 
3324,Green Peas _ Wasabi ,,8,oz,$2.80 
3114,Pretzel Bites _ Peanut Butter,,8,oz,$4.05 
,Pretzel Twists _ Mini,,8,oz,
,Rice Crackers _ Chili ,,8,oz,
3424,Rice Crackers _ Mixed ,,8,oz,$2.65 
,Sesame Sticks -- Cheddar ,,8,oz,
#N/A,Sesame Sticks _ Garlic ,,8,oz,#N/A
,Sesame Sticks _ Honey Roasted,,8,oz,
3254,Sesame Sticks _ Regular ,,8,oz,$2.85 
3334,Vegetable Chips _ High  Vitamin,,8,oz,$6.30 
,,,8,oz,
,Apple Rings,,8,oz,
4724,Apricots,,8,oz,$3.35 
4734,Banana Chips,,8,oz,$2.65 
#N/A,Black Mission Figs,,8,oz,#N/A
4124,Cherries,,8,oz,$7.10 
4144,Sliced Cranberries,,8,oz,$3.20 
,Coconut Chips _ Natural (No Sulfur),,8,oz,
,Coconut _ Sweetened _ Shredded ,,8,oz,
,Coconut _ Toasted ,,8,oz,
,Coconut _ Unsweetened _ Shredded ,,8,oz,
,Dates _ Pitted ,,8,oz,
,Date Pieces,,8,oz,
#N/A,Ginger - Diced,,8,oz,#N/A
,Ginger - Sliced ,,8,oz,
#N/A,Kiwi Slices,,8,oz,#N/A
4514,Mango Slices,,8,oz,$3.40 
4524,Chili Mango Slices,,8,oz,$3.65 
,Papaya Diced,,8,oz,
,Peach Halves,,8,oz,
,Pear Halves,,8,oz,
4614,Pineapple Chunks,,8,oz,$3.45 
#N/A,Pineapple Diced,,8,oz,#N/A
,Plums _ Pitted (Prunes),,8,oz,
,Raisins _ Golden _ Seedless ,,8,oz,
,Raisins _ Dark _ Seedless ,,8,oz,
,Strawberries,,8,oz,
,,,8,oz,
51214,Atomic Fireballs,,8,oz,$3.10 
51134,Jolly Ranchers _ Assorted ,,8,oz,$3.10 
,,,8,oz,
52114,Assorted Fruit Slices,,8,oz,$2.55 
52564,Assorted Fruit Sours,,8,oz,$3.10 
19804,Boston Baked Beans,,8,oz,$2.85 
19184,Butter Toffee Almonds,,8,oz,$4.85 
19484,Butter Toffee Peanuts,,8,oz,$2.70 
19694,Caramelized Mixed Nuts,,8,oz,$6.75 
52714,Cherry Sours,,8,oz,$2.95 
52124,Cherry Slices,,8,oz,$2.70 
52524,Chewy Sprees,,8,oz,$2.95 
52214,Cinnamon Bears,,8,oz,$2.60 
19494,Cinamon Toffee Almonds,,8,oz,$4.85 
19194,Cinnamon Toffee Peanuts,,8,oz,$3.20 
19704,French Burnt Peanuts,,8,oz,$3.05 
52554,Fruit Runts,,8,oz,$3.10 
52254,Hot Tamales,,8,oz,$2.85 
,Jelly Beans _ Assorted ,,8,oz,
,Jelly Belly - 49 Flavor Mix ,,8,oz,
19144,Jordan Almonds _ Pastel ,,8,oz,$4.40 
,Jordan Almonds _ White ,,8,oz,
52724,Lemon Drops,,8,oz,$2.75 
52414,Licorice Allsorts,,8,oz,$3.00 
52424,Licorice Bridge Mix,,8,oz,$3.65 
52434,Licorice Gems,,8,oz,$3.15 
52454,Licorice Black Australian - Gourmet,,8,oz,$3.70 
52444,Licorice Twists Black ,,8,oz,$3.10 
52264,Licorice Twists Cinnamon,,8,oz,$3.10 
52474,Licorice Twists Red,,8,oz,$3.10 
52484,Licorice Red Australian - Gourmet ,,8,oz,$3.70 
52574,Mike & Ike _ Fruit Jells,,8,oz,$2.85 
52134,Orange Slices,,8,oz,$2.55 
52544,Sour Patch Kids,,8,oz,$3.95 
52144,Sour Patch Watermelon,,8,oz,#N/A
,Spice Drops,,8,oz,
52624,Strawberry Bricks,,8,oz,$3.00 
52754,Swedish Fish,,8,oz,$3.65 
,,,8,oz,
,Cinnamon Taffy,,8,oz,
,Melon Taffy Assortment ,,8,oz,
,Peppermint Taffy,,8,oz,
53114,Salt Water Taffy Assortment,,8,oz,$3.25 
53134,Tropical Taffy Assortment,,8,oz,$3.25 
,,,8,oz,
54114,Gummi Cola Bottles - Haribo ,,8,oz,$3.55 
54124,Gummi Fruit Salad - Haribo ,,8,oz,$3.55 
54134,Gummi Gold Bears _ Haribo ,,8,oz,$3.55 
54144,Gummi Grapefruit - Haribo,,8,oz,$3.55 
54154,Gummi Peaches _ Haribo ,,8,oz,$3.55 
54174,Gummi Raspberries _ Haribo ,,8,oz,$3.55 
54184,Gummi Twin Cherries _ Haribo ,,8,oz,$3.55 
54234,Gummy Baby Bear Cubs,,8,oz,$3.55 
54244,Gummy Bears _ 12 Flavors,,8,oz,$2.70 
54394,Gummy Blue Sharks,,8,oz,$2.45 
54494,Gummy Jet Fighters,,8,oz,$2.60 
54254,Gummy Butterflies,,8,oz,$2.70 
54264,Gummy Peach Rings,,8,oz,$2.80 
54474,Gummy Rainforest Frogs ,,8,oz,$3.30 
54354,Gummy Sour Triple Bears,,8,oz,$3.40 
55464,Gummy Watermelon Slices ,,8,oz,$3.10 
54274,Gummy Worms,,8,oz,$2.70 
54284,Sour Gummy Worms ,,8,oz,$2.80 
,,,8,oz,
,5800 ct. Ball Gum _ Assorted Colors (.56î),,8,oz,
,1î Bizarre Timebreaker Jawbreakers,,8,oz,
#N/A,2 _î Bizarre Timebreaker Jawbreakers,,8,oz,#N/A
#N/A,2 _ Psychedelic Jawbreakers,,8,oz,#N/A
#N/A,"3 3/8"" Mega Bruiser Jawbreakers",,8,oz,#N/A
,,,8,oz,
56214,Sugar Free Almonds _ Milk Chocolate,,8,oz,$5.10 
56244,Sugar Free Gummy Bears,,8,oz,$4.40 
56274,Sugar Free Peanuts _ Milk Chocolate,,8,oz,$5.30 
56284,Sugar Free Raisins _ Milk Chocolate,,8,oz,$3.95 
56294,Sugar Free Salt Water Taffy,,8,oz,$5.10 
,,,8,oz,
57254,Raspberry Yogurt Pretzels,,8,oz,$3.60 
,Yogurt Almonds,,8,oz,
,Yogurt Cranberries,,8,oz,
,Yogurt Peanuts,,8,oz,
57234,Yogurt Pretzels,,8,oz,$3.30 
57244,Yogurt Raisins,,8,oz,$3.55 
,,,8,oz,
61114,Dark Chocolate Almonds,,8,oz,$5.10 
61314,Dark Chocolate Alpine Mints _ Pastel Colors,,8,oz,$4.95 
61154,Dark Chocolate Burnt Caramel Almonds,,8,oz,$5.35 
61514,Dark Chocolate Coffee Beans,,8,oz,$5.20 
61214,Dark Chocolate Dried Cherries,,8,oz,$7.45 
,Dark Chocolate Dried Cranberries,,8,oz,
61524,Dark Chocolate Malt Balls,,8,oz,$4.85 
61354,Dark Chocolate Mint Cookie Crisps,,8,oz,$4.90 
61334,Dark Chocolate Mints,,8,oz,$3.60 
61534,Dark Chocolate Nonpareils,,8,oz,$4.50 
61134,Dark Chocolate Peanuts,,8,oz,$4.75 
61234,Dark Chocolate Raisins,,8,oz,$4.60 
61564,Dark Chocolate Pretzel Sticklets,,8,oz,$4.60 
61144,Dark Chocolate Walnuts,,8,oz,$5.30 
,,,8,oz,
62114,Milk Chocolate Almonds,,8,oz,$4.85 
62714,Milk Chocolate Animal Crackers,,8,oz,$4.35 
62454,Milk Chocolate Boulders ,,8,oz,$5.20 
62524,Milk Chocolate Caramels,,8,oz,$4.05 
62124,Milk Chocolate Cashews,,8,oz,$5.50 
62334,Milk Chocolate Coconut Clusters,,8,oz,$5.35 
62654,Milk Chocolate Cookie Dough,,8,oz,$4.60 
62534,Milk Chocolate English Toffee,,8,oz,$5.85 
,Milk Chocolate Ernies (M&M Style),,8,oz,
62744,Milk Chocolate Graham Crackers,,8,oz,$4.50 
62214,Milk Chocolate Malt Balls _ Double Dipped,,8,oz,$4.50 
62794,Milk Chocolate Mini Peanut Butter Cups,,8,oz,$2.56 
62234,Milk Chocolate Mint Cookie Malt Balls,,8,oz,$4.75 
62764,Milk Chocolate Muddy Bears (Gummy Bears),,8,oz,$4.15 
62554,Milk Chocolate Peanut Caramel Patties,,8,oz,$4.85 
62134,Milk Chocolate Peanut Clusters,,8,oz,$4.30 
,Milk Chocolate Peanut Gems (M&M Style),,8,oz,
62154,Milk Chocolate Peanuts _ Double Dipped,,8,oz,$4.10 
62164,Milk Chocolate Peanuts _ Panned,,8,oz,$4.10 
62544,Milk Chocolate Pecan Caramel Patties,,8,oz,$6.85 
,Milk Chocolate Pecans,,8,oz,
62624,Milk Chocolate Pretzels,,8,oz,$4.00 
62354,Milk Chocolate Raisins,,8,oz,$4.10 
,Milk Chocolate ReeseÍs Pieces,,8,oz,
62424,Milk Chocolate Rocks,,8,oz,$4.65 
,Milk Chocolate Stars,,8,oz,
62184,Milk Chocolate Candy Coated Sunkernels,,8,oz,$4.55 
,,,8,oz,
61424,Dark & Milk Chocolate Bridge Mix,,8,oz,$4.20 
62644,Tuxedo Pretzels (Milk Chocolate and Yogurt),,8,oz,$3.75 
,,,8,oz,
,Smooth & Melty Mints _ Pastel _ Large,,8,oz,
66124,Smooth & Melty Mints _ Pastel _ Mini ,,8,oz,$4.20 
,,,8,oz,
#N/A,1000 ct. Milk Chocolate Chips,,8,oz,#N/A
#N/A,700 ct. White Chocolate Chips,,8,oz,#N/A
,900 ct. Bittersweet Chocolate Chips ,,8,oz,
#N/A,Butterfinger Topping Chopped,,8,oz,#N/A
,Cacao Nibs - NEW! ,,8,oz,
#N/A,Cookies N Cream Topping Chopped,,8,oz,#N/A
#N/A,Heath Bits Chopped ,,8,oz,#N/A
#N/A,Mini Semisweet Chocolate Gems,,8,oz,#N/A
,Milk Chocolate Teenies (Mini M&M Style) ,,8,oz,
#N/A,Mini ReeseÍs Pieces,,8,oz,#N/A
#N/A,Praline Pecan Bites,,8,oz,#N/A
,,,8,oz,
65214,Alpine Dark Melting Wafers ,,8,oz,$3.10 
65224,Alpine Milk Melting Wafers ,,8,oz,$3.10 
#N/A,Alpine Bright White Melting Wafers ,,8,oz,#N/A
65234,Alpine White Melting Wafers ,,8,oz,$3.10 
,,,8,oz,
,Marich Assorted Green Bean Jelly Beans,,8,oz,
,Marich Celestial Sours,,8,oz,
,Marich Chocolate Berry Blues,,8,oz,
,Marich Chocolate Espresso Beans,,8,oz,
,Marich Chocolate Malt Balls,,8,oz,
,Marich Chocolate Rapberries,,8,oz,
,Marich Coconut Curry Cashews,,8,oz,
,Marich Dark Chocolate Almonds,,8,oz,
,Marich Dark Chocolate Chipotle Almonds,,8,oz,
,Marich Dark Choc. Sea Salt Caramel Popcorn ,,8,oz,
,Marich Dark Chocolate Sea Salt Caramels ,,8,oz,
,Marich Milk Chocolate Almonds,,8,oz,
,Marich Milk Chocolate Peanuts,,8,oz,
,Marich Milk Chocolate Raisins,,8,oz,
,Marich Milk Choc. Sea Salt Caramel Popcorn ,,8,oz,
,Marich Natural Holland Mints,,8,oz,
,Marich Pastel Cherries,,8,oz,
,Marich Pastel Jordan Almonds,,8,oz,
,Marich Raspberry Trufflz,,8,oz,
,Marich Red Apple Caramels,,8,oz,
,Marich Triple Chocolate Toffee ,,8,oz,
,Marich Tuxedo Beans,,8,oz,
11322,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R/No,5,lb,$54.85 
11312,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R&S,5,lb,$54.85 
11412,"Bridge Mixed Nuts: Large Cashews, Unblanched Almonds, Pecan Halves, and Blanched Virginia Peanuts. ",R&S,5,lb,$47.05 
,,,,lb,
,,,,lb,
12132,Unblanched Whole Almonds,Raw,5,lb,$36.25 
#N/A,Unblanched Whole Almonds,Raw,#N/A,lb,#N/A
12122,Unblanched Whole Almonds,R/No,5,lb,$37.95 
12112,Unblanched Whole Almonds,R&S,5,lb,$37.95 
12232,Blanched Whole Almonds,Raw,5,lb,$40.15 
12622,Diced Dry Rst. Medium Almonds 22/8,R/No,5,lb,$39.05 
,Sliced Blanched Almonds,Raw,,lb,
12332,Sliced Natural Almonds,Raw,5,lb,$39.05 
12322,Sliced/Dry Roasted Almonds,R/No,5,lb,$44.05 
12532,Slivered Blanched Almonds,Raw,5,lb,$40.15 
19112,Hickory Smoked Almonds,R&S,5,lb,$39.60 
12032,Blanched Whole Marcona Almonds ,Raw,5,lb,$27.76 
12012,Blanched Whole Marcona Almonds ,R&S,5,lb,$28.76 
,,,,lb,
19232,Honey Toasted Cashews,,5,lb,$43.40 
13222,Large Cashews (320 ct.),R/No,5,lb,$65.70 
13332,Large Cashews (320 ct.),Raw,5,lb,$64.05 
13312,Large Cashews (320 ct.),R&S,5,lb,$65.70 
13432,Cashew Pieces,Raw,5,lb,$47.95 
13422,Cashew Pieces,R/No,5,lb,$49.05 
13412,Cashew Pieces,R&S,5,lb,$49.05 
,,,,lb,
19332,Honey Toasted Pecans,,5,lb,$56.25 
14132,Pecan Halves,Raw,5,lb,$76.80 
14122,Pecan Halves,R/No,5,lb,$78.50 
14112,Pecan Halves,R&S,5,lb,$78.50 
14332,Pecan Pieces _ Medium ,Raw,5,lb,$77.40 
14232,Pecan Pieces _ Small/Medium,Raw,5,lb,$77.40 
,,,,lb,
15112,Light Walnut Halves & Pieces,Raw,5,lb,$44.05 
15122,Light Walnut Pieces,Raw,5,lb,$44.05 
,,,,lb,
19442,Honey Roasted Peanuts,,5,lb,$23.50 
19452,Hot and Spicy Peanuts,,5,lb,$21.80 
16132,Spanish Peanuts (with skin),Raw,5,lb,$19.05 
16112,Spanish Peanuts (with skin),R&S,5,lb,$20.70 
16332,Blanched Virginia Peanuts,Raw,5,lb,$15.25 
16322,Blanched Virginia Peanuts,R/No,5,lb,$16.95 
16312,Blanched Virginia Peanuts,R&S,5,lb,$16.95 
16422,Granulated Peanuts - Dry Roasted,R/No,5,lb,$17.40 
,,,,lb,
17232,Hazelnuts (Filberts) Blanched,Raw,5,lb,$92.95 
17332,Hazelnuts (Filberts) Natural,Raw,5,lb,$72.40 
17432,Macadamia Nuts 90% Whole,Raw,5,lb,$113.50 
17442,Macadamia Hv. & Pcs. _ Style 4,Raw,5,lb,$105.70 
17532,Pepitas (Pumpkin Seeds),Raw,5,lb,$34.05 
17512,Pepitas (Pumpkin Seeds),R&S,5,lb,$35.70 
17632,Pine Nuts,Raw,5,lb,$66.80 
17612,Pine Nuts,R&S,5,lb,$68.50 
17732,Pistachios,Raw,5,lb,$86.25 
17812,Soy Nuts,R&S,5,lb,$16.25 
17932,Sunflower Kernels,Raw,5,lb,$14.05 
#N/A,Sunflower Kernels,Raw,#N/A,lb,#N/A
17922,Sunflower Kernels,R/No,5,lb,$15.70 
17912,Sunflower Kernels,R&S,5,lb,$15.70 
,,,,lb,
18212,Natural Pistachios,R&S,5,lb,$54.05 
18312,Pumpkin Seeds (White),R&S,5,lb,$27.95 
,,,,lb,
2612,"Banana Split: White & Milk Chocolate Chips, Walnuts Raw, Pecan Pieces Raw, Diced Pineapple, Banana Chips, Cranberries, Strawberries.",,5,lb,$31.60 
2412,"Better Better Cheddar: Chili Cheese Corn Jacks, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers.",,5,lb,$23.70 
2112,"Cajun Hot Mix: Cajun Hot Corn Sticks, Sesame Sticks, Chili Rice Crackers, Mixed Rice Crackers, Hot and Spicy Peanuts.",,5,lb,$21.05 
2622,"Cherry Nut Harvest: Diced Pineapple, Cranberries, Cherries, Walnuts Raw, Unblanched Almonds Raw, Pecan Halves Raw, Large Cashews R/No, Cinnamon Toffee Peanuts.",,5,lb,$41.20 
2632,"Crazy for Cranberries: Cranberries, White Chocolate Chips, Unblanched Almonds R/No, Cashew Pieces R/No, Blanched Virginia Peanuts R/No.",,5,lb,$29.05 
2732,"Delight: Dark Raisins, Pineapple Chunks, Diced Papaya, Apricots, Golden Raisins, Unblanched Almonds Raw, Date Pieces, Walnuts Raw, Cashew Pieces Raw.",,5,lb,$24.85 
2122,"Fiesta Mix: Honey Roasted Sesame Sticks, Cajun Hot Corn Sticks, Cheddar Cheese Goldfish Crackers, Mini Pretzel Twists.",,5,lb,$20.80 
2742,"For Your Health: Cranberries, Unblanched Almonds Raw, Walnuts Raw.",,5,lb,$35.85 
2642,"Gorp: Ernies (M&M Style Candy), Dark Raisins, Blanched Virginia Peanuts R/No, Walnuts Raw.",,5,lb,$22.35 
2212,"Happy Hour Mix: Mini Pretzel Twists, Toasted Corn Nuts, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers, Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,5,lb,$21.05 
2132,"Hot Creole Crunch: Cajun Hot Corn Sticks, Chili Rice Crackers, Hot and Spicy Peanuts, Spanish Peanuts R&S, Toasted Corn Nuts, Pepitas (Pumpkin Seeds) R&S.",,5,lb,$21.70 
2662,"JerryÍs Favorite Trail Mix: Ernies (M&M Style Candy), Dark Raisins, Spanish Peanuts R&S, Blanched Virginia Peanuts R&S, Cashew Pieces R&S.",,5,lb,$24.05 
2232,"Nut and Snack Mix: Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,5,lb,$19.55 
2672,"Nut House Classic: Blanched Virginia Peanuts R&S, Ernies (M&M Style Candy), Peanut Gems (Peanut M&M Style Candy), Unblanched Almonds R&S, Pecan Halves R&S, Large Cashews R&S.",,5,lb,$29.65 
2312,"Oriental Mix: Blanched Virginia Peanuts R/No, Sesame Sticks, Green Peas R&S, Chili Rice Crackers, Mixed Rice Crackers.",,5,lb,$18.25 
2602,"Peanut Butter Crunch: Mini Peanut Butter Cups, Cashews R&S, Unblanched Almonds R&S, Blanched Virginia Peanuts R&S..",,5,lb,$35.30 
2682,"Peanut Passion: Butter Toffee Peanuts, Boston Baked Beans, French Burnt Peanuts, Blanched Virginia Peanuts R/No.",,5,lb,$19.55 
2142,"Rhino Chow: Cheddar Sesame Sticks, Pepitas (Pumpkin Seeds) R&S, Chili Rice Crackers, Hot and Spicy Peanuts, Hickory Smoked Almonds.",,5,lb,$22.75 
2242,"Rocky Mountain Madness: Sesame Sticks, Mini Pretzel Twists, Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks, Blanched Virginia Peanuts R/No.",,5,lb,$22.45 
2252,Sesame Mix: Assorted Flavor Sesame Sticks.,,5,lb,$19.95 
2152,"SizzlinÍ Sweet: Hot and Spicy Peanuts, Cajun Hot Corn Sticks, Sesame Sticks, Honey Roasted Peanuts, Butter Toffee Peanuts.",,5,lb,$21.40 
2422,"SmokÍn Cheddar: Cheddar Sesame Sticks, Mini Pretzel Twists, Cheddar Cheese Goldfish Crackers, Hickory Smoked Almonds.",,5,lb,$30.45 
2272,"Snackens: Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks.",,5,lb,$30.60 
2762,"Sunburst Fruit & Nut Mix: Banana Chips, Dark Raisins, Diced Papaya & Pineapple, Unblanched Almonds Raw, Walnuts Raw.",,5,lb,$23.35 
2772,"Trail Mix: Dark and Golden Raisins, Sunflower Kernels Raw, Unblanched Almonds Raw, Cashew Pieces Raw, Unsweetened Coconut Ribbon.",,5,lb,$24.90 
2322,"Wasabi Crunch: Corn Chips w/Flax Seeds, Wasabi Green Peas, Soy Nuts R&S, Blanched Virginia Peanuts R&S.",,5,lb,$18.85 
